S.no,Location,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2005,2000,1995,1990,1980,1970,1960,1950,Peak production [20][21][18] [24][19][22][7],Peak year
,Belarus,,,29891,31273,30487,23235,13428,16864,15033,22990,22926,25425,24343,15249,26995,19324,,,40100,29800,18700,2400,40100,1980
,Egypt,,,23754,23754,18500,71600,36640,"36,230","36,000",42515,"39,050","56,480",81731,116683,123425,59765,,,,,,,123425,2005
,Ecuador,,,,,,"2,700","2,700","4,800",5986,"24,322","24,322",24322,22335,32254,41047,,,,,,,,41047,2000
,Bulgaria,,,,,,,,,,"2,508",2200,0,0,0,0,2200,,21000,12000,,,,21000,1990
,Tunisia,,,,,,2000,"1,940","1,940",540,540,"1,860","1,860",1860,0,,,,,,,,,??,??
,Venezuela,,,,,,1774,2850,18300,19759,71753,104083,102409,104357,135425,21190,96400,,153000,,,,,175458,2006
,Bangladesh,,,,,,580,580,540,536,,,,0,0,0,0,0,0,0,0,0,0,??,??
,New Zealand,,,,,,,,0,0,0,0,0,0,0,0,,,90000,55178,32409,9731,,123000,1982
,Ireland,,,,,,,,,,,,,,,,,,47000,,,,,47000,1981
,Greece,,1,,,,,,,,,,,,,,,567,"18,333","18,187","2,200",,,??,??
,Zimbabwe,,,1,,,0,0,0,0,829,829,829,257,960,792,,,,,,,,??,??
,Kenya,,,,,,0,0,0,0,"3,080","3,080",2945,0,405,288,,,,,,,,??,??
,Uruguay,,,1,,,0,0,0,0,0,0,0,0,0,14404,,,,,,,,??,??
,Chile,,,,,,0,0,0,0,0,0,0,4700,"6,660","5,245",,,,,,,,10804,2007
,Nigeria,,,,,,0,0,0,0,0,0,0,0,2937,7834,,,,,,,,??,??
,Peru,,,,,,0,0,0,0,0,0,0,0,1566,,,,,,,,,??,??
,Note 2. Former countries,,,,,,,,,,,,,,,,,,,,,,,,
—,Soviet Union,,,,,—,—,—,—,—,—,—,—,—,—,—,—,2039600,2199200,916118,523591,362985,2247500,1985,
—,Czechoslovakia,,,,,—,—,—,—,—,—,—,—,—,—,—,—,242000,233112,169920,75000,31000,242000,1990,
—,Yugoslavia,,,,,—,—,—,—,—,—,—,—,—,—,—,—,"239,000",278000,124000,16000,1000,318300,1988,
—,East Germany,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,216585,153378,77350,8243,264444,1986,
